City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
331,Pokhara,NP,28.2333,83.9833,51.15,58,81,3.78,broken clouds
332,Ostrovnoy,RU,68.0531,39.5131,27.84,86,100,19.6,overcast clouds
333,Banjar,ID,-8.19,114.9675,78.66,89,100,1.54,overcast clouds
334,Hot Springs,US,34.5037,-93.0552,64.56,52,54,5.99,broken clouds
335,Bandarbeyla,SO,9.4942,50.8122,73.47,62,11,15.26,few clouds
336,General Cepeda,MX,25.3833,-101.45,58.53,44,88,12.28,overcast clouds
337,Lagos,NG,6.5833,3.75,82.72,91,12,1.83,few clouds
338,Eten,PE,-6.9081,-79.8642,80.85,47,0,17.27,clear sky
339,Kuryk,KZ,43.2,51.65,38.55,62,100,16.11,overcast clouds
340,Chepo,PA,9.1667,-79.1,85.01,81,56,10.67,broken clouds
341,Yuancheng,CN,36.652,107.7896,23.41,88,100,1.23,overcast clouds
342,Kirensk,RU,57.7853,108.1119,-26.43,100,96,2.35,overcast clouds
