City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
438,Flinders,AU,72.81,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
444,Niquelandia,BR,68.2,overcast clouds,-14.4739,-48.4597,Hotel Suinã
445,Phuket,TH,79.02,few clouds,8.0,98.25,The Surin
446,Birjand,IR,44.83,clear sky,32.8663,59.2211,Birjand Tourist Hotel
447,Claveria,PH,73.65,broken clouds,18.6074,121.0832,Casa Grand Inn By The Sea
449,Shinyanga,TZ,65.7,overcast clouds,-3.6667,33.4333,Dami Hotel
451,Diego De Almagro,CL,68.74,clear sky,-26.3667,-70.05,hotel luna del desierto
452,Liberal,US,63.64,clear sky,37.0431,-100.921,Hampton Inn & Suites Liberal
457,Bektemir,UZ,41.05,clear sky,41.2097,69.3342,Grace Garden
459,Perth,AU,70.66,clear sky,-31.9333,115.8333,Beatty Lodge
461,Vanderhoof,CA,43.2,broken clouds,54.0166,-124.0198,Vanderhoof Inn
463,Along,IN,52.27,overcast clouds,28.1667,94.7667,Hotel West
464,Boali,CF,75.79,scattered clouds,4.8005,18.1275,Auberge des Cocotiers Boali poste
465,Bam,IR,55.13,clear sky,29.106,58.357,Bam Tourist Hotel
469,Constitucion,CL,62.74,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
471,Bagotville,AU,75.63,scattered clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
474,Aragarcas,BR,70.56,heavy intensity rain,-15.8975,-52.2508,Pousada Tropical
475,Burnie,AU,64.94,clear sky,-41.0667,145.9167,Beachfront Voyager Motor Inn
476,Rantepao,ID,68.09,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
479,Falmouth,GB,45.5,few clouds,50.1544,-5.0711,The Falmouth Hotel
480,Cap Malheureux,MU,75.69,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
481,Palmer,US,45.48,broken clouds,42.1584,-72.3287,Wedgewood Motel
482,Ferrol,ES,53.37,scattered clouds,43.4832,-8.2369,Parador de Ferrol
488,Malumfashi,NG,65.26,scattered clouds,11.7853,7.6218,INFINITY CYBER CAFE MALUMFASHI
490,Guerrero Negro,MX,76.26,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
491,Garmsar,IR,50.14,broken clouds,35.2182,52.3409,آذین فوم
492,Tuy Hoa,VN,71.96,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
